field_1,역명,위도,경도,SIG_KOR_NM
773,원남동사거리(경유),126.997604,37.5713,종로구
774,이화사거리(경유),127.002171,37.571246,종로구
775,혜화동로터리(경유),127.001532,37.585632,종로구
776,혜화동로터리(경유),127.001219,37.585736,종로구
2037,경복궁역(경유),126.972616,37.575678,종로구
2755,독립문고가차도(경유),126.960763,37.571935,종로구
4342,종로2가(경유),126.987506,37.569975,종로구
4518,경복궁역(경유),126.973043,37.575662,종로구
64294,독립문역.한성과학고,126.95642,37.575705,종로구
67718,서울풍물시장,127.023178,37.57334,종로구
69260,종각역,126.982894,37.56938,종로구
69266,청계2가교차로,126.987878,37.568481,종로구
69267,서대문역사거리,126.966893,37.566137,종로구
69316,서대문,126.964671,37.568114,종로구
69474,종로1.2.3.4가동주민센터,126.991131,37.574384,종로구
69476,교남동주민센터,126.96128,37.572152,종로구
69477,독립문역,126.959408,37.573284,종로구
69478,조계사,126.983136,37.573602,종로구
69479,종로경찰서,126.984083,37.57571,종로구
69480,종각.공평유적전시관,126.983243,37.571594,종로구
69481,창신쌍용1단지.종로센트레빌아파트,127.015569,37.580323,종로구
69482,동묘역.롯데캐슬,127.015792,37.574029,종로구
69483,구민회관.동묘역,127.015576,37.574048,종로구
69484,창신초등학교,127.015389,37.576903,종로구
69485,종로센트레빌아파트,127.015693,37.580353,종로구
69486,동묘역,127.014245,37.572694,종로구
69487,성균관대학교,126.990004,37.588464,종로구
69488,성대후문.와룡공원,126.989734,37.589152,종로구
69489,서울성곽.성대후문,126.989632,37.589258,종로구
69490,국민생활관,126.999314,37.589628,종로구
69491,혜화동로터리,127.001003,37.58592,종로구
69492,성대입구,126.998853,37.583267,종로구
69493,성균관대학교앞,126.999336,37.58326,종로구
69494,명륜새마을금고,126.996705,37.587653,종로구
69495,혜화로터리,127.000645,37.585462,종로구
69496,연건동,127.000745,37.576126,종로구
69497,혜화역2번출구,127.002257,37.581148,종로구
69498,혜화역3번출구,127.001921,37.581216,종로구
69499,동대문종합시장,127.00614,37.571176,종로구
69500,종로5가역,127.000025,37.570671,종로구
69501,종로4가.혜화경찰서,126.997482,37.572634,종로구
69502,안국역2번출구앞,126.986118,37.577173,종로구
69503,적십자병원후문앞,126.965227,37.56753,종로구
69504,신학대학교총회본부,126.963445,37.573976,종로구
