gu,Dec-19,Dec-20
강남구,23516929,15003725
강동구,4898887,3345174
강북구,1945019,1241073
강서구,9400557,6097227
관악구,14252381,7496294
광진구,5095601,2735815
구로구,9639604,6134864
금천구,3513571,2759471
노원구,9606336,6108160
도봉구,4882734,3207453
동대문구,2611709,1644198
동작구,4849365,3167571
마포구,19772830,10233505
부평구,1618139,1045210
서대문구,6221707,3366865
서초구,17166119,8758065
성동구,9666925,6432051
성북구,4040624,2540747
송파구,12206233,7627713
양천구,2284096,1483279
양평군,627981,423512
영등포구,11050359,7373332
용산구,4233585,2132368
은평구,8065855,5276387
종로구,17119096,8268478
중구,18790262,9771983
중랑구,3748384,2399762
