,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
강남구,24390931,20419153,25567431,25397882,24017892,22446595,24766773,22994680,22685618,25056975,24756065,26429165,23863771,21627594,25981973,24406636,24868388,24477215,24854592,24054746,22115437,20985149,21439101,22429585,20163378,20443027,22589765,21125060,20719127,21195168,21116422,20728829,21519946,18434611,21916505,21952214,21467597,18390119,22316514,21582101,21688304,20791988,21977692,20999094,19202211,22215684,22667707,22155019,22500962,18500766,22266080,22699393,22989074,21218871,23292485,21768376,20473927,23038408,23094030,23516929,21074910,18136043,14850460,15573263,17079452,18495586,19791438,16369303,15241258,17386810,18257605,15003725,15537366,15311521,19069318,18719416,17893207,18993578,17084340,16152509,15871631,17654013,19531677,19353414,18194595
강동구,7757349,6607675,8226341,8023855,7878438,6868205,7391183,7087868,7115465,7797890,7479685,7912748,7175284,6596732,7856117,7503062,7657880,7344488,7266150,7113337,6872615,4345299,4333320,4403988,3921898,3934662,4565463,4391663,4399218,4362154,4221221,4186218,4475480,4042615,4539975,4522904,4324089,3783023,4688713,4570192,4690894,4410038,4477975,4268861,4106249,4739239,4725528,4545764,4480089,3787619,4638541,4681225,4800114,4400932,4663873,4413669,4273521,4866208,4806992,4898887,4449497,3776006,3260160,3521920,3950899,4162588,4405396,3562262,3346041,3824173,3973148,3345174,3462332,3393302,4218851,4106575,3966979,4107667,3739839,3575405,3553940,3916802,4160435,4133670,3894644
강북구,3179893,2753065,3466489,3415685,3380551,3016239,3151178,2998177,3097257,3373481,3253463,3402547,3018918,2830654,3425104,3278948,3343747,3167956,3133602,3022629,2989432,2045810,2033010,2103506,1870189,1840126,2088946,1987740,2015054,1971910,1944650,1907580,1874185,1723029,1879678,1916376,1773097,1581930,1901758,1828725,1888890,1773223,1789226,1705078,1651076,1846742,1828061,1833147,1764112,1534325,1854800,1875089,1953753,1790111,1855603,1776185,1721288,1905026,1878320,1945019,1732488,1461213,1261478,1325864,1466991,1504918,1583880,1318352,1269904,1449883,1463864,1241073,1233269,1217995,1502311,1479046,1454308,1472265,1351836,1287903,1313656,1437773,1489263,1488929,1388824
강서구,8177757,7084440,8730311,8610066,8572769,7621903,8255176,7966986,7963910,8638609,8343573,8695270,7890622,7400148,8731468,8474969,8640312,8360515,8294673,8267532,7964736,8667471,8636570,8880515,8078459,7927573,9039070,8707995,8778602,8641517,8528702,8520473,8838075,8156783,8957484,9069281,8709015,7742681,9330246,9127204,9336284,8838351,9038344,8805070,8311647,9267694,9215913,8996948,8909259,7732818,9266379,9356155,9619706,8873409,9266233,8885318,8535813,9488996,9255244,9400557,8530755,7063994,5885059,6218242,6928075,7260518,7747115,6731289,6218424,7292035,7421000,6097227,6132872,6325342,7840410,7836171,7703531,7855223,7181953,6889758,6898492,7651424,8051114,7944168,7558661
관악구,17500989,14803791,18835574,18313376,18022307,16257958,17470210,16544089,16631552,18081475,17365135,18231123,16662489,15201594,18481535,17643323,17917208,17226893,17038095,16506413,15959533,14167525,14051209,14493577,12852702,12827792,14598793,13892920,13784719,13605197,13285986,13119521,13770176,12427391,13808714,13984358,13295007,11626918,14332246,13849235,14086333,13415003,13578709,12954632,12499351,14178593,14035423,13973432,13753964,11671799,14204184,14153954,14484617,13479786,13971830,13323243,12818532,14244949,13908591,14252381,12658197,10751625,7869359,8340613,9099314,9308122,9898563,8433281,7875226,9088230,9178528,7496294,7629946,7552411,9367704,9215599,9066491,9262613,8338018,8015445,8027964,8981152,9573843,9363797,8882787
광진구,13828183,11945967,15266533,15206380,15718280,12767534,13727431,13574950,13734750,14869208,14014338,14649308,13087315,12198091,14914766,14618496,15210124,13997727,13682225,13528903,13349408,5322268,5148602,5305596,4741952,4731393,5481292,5343769,5479143,5055056,4881697,4920725,5271314,4755747,5011235,5136507,4759311,4282978,5443173,5192911,5598782,5032304,5000365,4894749,4878259,5189251,5086020,5053442,4839882,4256938,5205609,5189992,5698465,4992461,5045850,4932556,4762856,5228786,5015047,5095601,4447265,3522900,3106099,3300380,3617441,3616278,3943726,3183617,2953880,3566576,3502046,2735815,2864998,2886589,3645600,3668419,3738335,3661177,3185615,3089630,3236199,3594381,3755204,3680759,3537389
구로구,10614516,9164170,11503115,11192665,10825336,10076227,10652276,10085047,10255062,11142580,10748320,11237807,10205524,9392593,11296887,10784186,10979560,10642458,10550535,10286223,9990341,9723945,9688826,9925816,8945419,8864251,9962889,9445987,9365999,9346937,9229692,9107760,9490903,8540465,9555061,9592246,9234208,8063933,9724773,9405451,9478387,9083372,9385837,8983607,8500430,9635127,9577121,9425420,9410786,7923779,9555451,9606326,9771268,9071120,9591149,9041637,8719978,9687290,9489097,9639604,8689979,7379618,6056473,6456303,7048935,7389892,7902196,6701693,6320865,7175453,7377682,6134864,6207178,6112885,7627360,7533126,7239196,7584104,6776711,6366819,6342948,7022777,7596175,7452503,6961896
금천구,3656432,3111521,3832403,3776025,3430178,3486190,3689477,3267581,3377997,3683399,3671827,3786158,3525650,3214433,3795456,3553690,3549166,3510091,3481985,3366842,3210851,3478797,3658902,3622877,3341361,3322775,3669986,3422189,3277395,3401546,3373539,3291180,3423692,2916467,3543721,3333521,3438397,2972268,3508281,3451792,3417491,3245082,3498410,3331846,3011992,3584594,3654701,3393297,3640019,2972661,3503154,3637064,3633463,3296337,3697856,3323545,3229293,3586995,3570348,3513571,3344246,3002760,2654333,2792422,2917058,3194366,3330962,2734710,2747503,2985739,3165898,2759471,2791371,2647377,3299850,3292610,3033833,3328842,3009505,2767748,2724539,2944890,3315718,3244380,3012449
노원구,11052350,9541430,12272852,11961148,12005686,10632445,11111399,10588231,10936250,11810570,11360014,11727994,10473952,9766065,12008012,11514919,11939865,11231448,11005912,10653066,10620532,9833462,9793995,9923139,8831818,8731335,10130591,9667230,9985053,9529090,9222188,9090402,9616436,8791695,9594200,9604082,9009179,7997797,9882503,9520933,9989397,9206155,9301590,8957786,8717145,9767257,9636968,9376566,9154100,7937299,9680347,9711336,10259868,9192073,9475425,9025238,8858081,9753551,9545261,9606336,8619688,7245130,6161710,6521661,7252869,7469188,7905291,6640892,6269545,7271566,7306889,6108160,6164638,6147254,7608701,7544589,7505654,7598261,6960006,6661595,6744493,7351741,7668129,7580224,7131995
도봉구,4824190,4168910,5280248,5190439,5233394,4677651,4869673,4659398,4770794,5161253,4882091,5050143,4567107,4247990,5179755,5029030,5195680,4950879,4818981,4691934,4710738,5089900,5018923,5026484,4489728,4421301,5198908,5014540,5090904,4946121,4714426,4659195,4986902,4645850,4939481,4879648,4589851,4076134,5076388,4933752,5110518,4767462,4747660,4533071,4545914,5087863,4958698,4792246,4704120,4067027,4966026,4989713,5201920,4762479,4818519,4603663,4574031,5060830,4898231,4882734,4402094,3731003,3320730,3487944,3831170,3920942,4130709,3419765,3342079,3830866,3804273,3207453,3202846,3209262,3940115,3898227,3846180,3897578,3533999,3392768,3463122,3809958,3937660,3823259,3628466
