사용월,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,부평구,서대문구,서초구,성동구,성북구,송파구,양천구,양평군,영등포구,용산구,은평구,종로구,중구,중랑구
2015-01,24390931,7757349,3179893,8177757,17500989,13828183,10614516,3656432,11052350,4824190,3211944,5675391,18549171,1424126,7247535,25678429,9324548,8388483,14247731,4786263,602014,12698911,5435210,8760697,20800694,19423974,5027742
2015-02,20419153,6607675,2753065,7084440,14803791,11945967,9164170,3111521,9541430,4168910,2816774,4870276,16157881,1231730,6228806,21923208,7944580,7275441,12262030,4097260,525067,10861603,4632375,7588210,17609709,16709577,4346661
2015-03,25567431,8226341,3466489,8730311,18835574,15266533,11503115,3832403,12272852,5280248,3541488,6557265,20307249,1539432,8055576,26493139,10615359,10203373,15518491,5132882,655024,13838617,5920898,9647733,21560210,20943296,5547748
2015-04,25397882,8023855,3415685,8610066,18313376,15206380,11192665,3776025,11961148,5190439,3451241,6468491,19704477,1529059,7764242,25342562,10434822,9852076,15919746,5022784,659469,14484399,5779891,9524068,21232061,20807275,5444002
2015-05,24017892,7878438,3380551,8572769,18022307,15718280,10825336,3430178,12005686,5233394,3373672,6262466,20148969,1498815,7716237,25104288,10050826,9770039,15904626,4968309,658347,13448908,5927901,9444833,21718838,20175502,5408394
2015-06,22446595,6868205,3016239,7621903,16257958,12767534,10076227,3486190,10632445,4677651,2957810,5637876,17444308,1363313,6610859,21761760,9270731,8504819,13385361,4427125,581220,12168765,5021092,8540508,17516556,17549790,4873771
2015-07,24766773,7391183,3151178,8255176,17470210,13727431,10652276,3689477,11111399,4869673,3095670,5720229,18445803,1476440,7090827,24914111,9511984,8435042,14960766,4791620,626148,13067789,5267746,8945792,19702722,18523412,5049396
2015-08,22994680,7087868,2998177,7966986,16544089,13574950,10085047,3267581,10588231,4659398,2927350,5379848,17925069,1417954,6834692,23695030,8835227,8034170,14563899,4525187,609150,12445647,5170298,8562819,19254235,17880683,4827043
2015-09,22685618,7115465,3097257,7963910,16631552,13734750,10255062,3377997,10936250,4770794,3168185,5770838,18107407,1448400,6964110,23107839,9401707,8958163,14498035,4582481,602063,12551121,5280706,8756564,18953744,18558710,4931723
2015-10,25056975,7797890,3373481,8638609,18081475,14869208,11142580,3683399,11810570,5161253,3363297,6217297,20457487,1572811,7547232,25033817,10216480,9586864,16056664,4938672,645030,13769397,6016969,9499693,21209981,20584695,5341733
2015-11,24756065,7479685,3253463,8343573,17365135,14014338,10748320,3671827,11360014,4882091,3238111,6009871,19093261,1507037,7401983,24517936,9995365,9331503,14972735,4760284,606815,12887604,5499012,9086206,20575359,20079455,5104682
2015-12,26429165,7912748,3402547,8695270,18231123,14649308,11237807,3786158,11727994,5050143,3328893,6050678,20206532,1594290,7722868,25999826,10199994,9257322,16114155,4980893,629222,13387609,5941121,9418733,22215142,21391456,5309632
2016-01,23863771,7175284,3018918,7890622,16662489,13087315,10205524,3525650,10473952,4567107,3020304,5348508,18206667,1439013,6939124,24129974,8981888,8006034,14361943,4516839,570154,12241266,5167759,8503213,19628190,18668469,4811367
2016-02,21627594,6596732,2830654,7400148,15201594,12198091,9392593,3214433,9766065,4247990,2745862,4948489,16901822,1329911,6410861,22170563,8277991,7494754,13296668,4172397,535295,11195931,4735824,7930426,17907212,17125244,4479050
2016-03,25981973,7856117,3425104,8731468,18481535,14914766,11296887,3795456,12008012,5179755,3454110,6389169,20282233,1591770,7956120,25692349,10604177,10080384,15981166,4974076,642822,13766923,5832381,9613669,21524685,20900077,5459238
2016-04,24406636,7503062,3278948,8474969,17643323,14618496,10784186,3553690,11514919,5029030,3259905,6182813,19496087,1551554,7432361,24446271,10060304,9412165,16046962,4776271,635884,14179344,5645968,9275306,20526019,19897634,5271470
2016-05,24868388,7657880,3343747,8640312,17917208,15210124,10979560,3549166,11939865,5195680,3290604,6307359,20220019,1586651,7680845,24995872,10314435,9732104,16286081,4839249,646483,13774347,5913331,9538685,21387971,20365921,5369853
2016-06,24477215,7344488,3167956,8360515,17226893,13997727,10642458,3510091,11231448,4950879,3164717,6047389,19366487,1536471,7169333,24037058,9843887,8959865,15478927,4660012,622685,13405695,5610065,9104816,19986510,19732278,5103122
2016-07,24854592,7266150,3133602,8294673,17038095,13682225,10550535,3481985,11005912,4818981,3045582,5623660,19353045,1532529,7183168,25111747,9531973,8385903,15695052,4621835,618593,13176806,5422832,8945587,20021284,19311779,4975542
2016-08,24054746,7113337,3022629,8267532,16506413,13528903,10286223,3366842,10653066,4691934,2940378,5458936,19111616,1479872,6947400,24351716,9274174,8107517,15340104,4504604,612704,12871105,5331696,8738635,19305618,18838898,4831655
2016-09,22115437,6872615,2989432,7964736,15959533,13349408,9990341,3210851,10620532,4710738,3090106,5612969,18350750,1438626,6800500,22646903,9270673,8691893,15084317,4393298,596442,12450771,5286925,8628800,18761952,18332405,4783289
2016-10,20985149,4345299,2045810,8667471,14167525,5322268,9723945,3478797,9833462,5089900,2509135,4742133,18459324,1563405,6332870,16560147,8982277,4475503,9436158,2307329,653351,10826646,3974895,7833518,16835809,18286910,3740444
2016-11,21439101,4333320,2033010,8636570,14051209,5148602,9688826,3658902,9793995,5018923,2490367,4760394,18292556,1564178,6568067,16425877,9135920,4505252,9150819,2310240,638857,10499756,3766394,7851530,17358384,19307671,3726482
2016-12,22429585,4403988,2103506,8880515,14493577,5305596,9925816,3622877,9923139,5026484,2518433,4802694,19042800,1604492,6586172,17209412,9109450,4398980,11044459,2311024,635840,10707674,4017527,8218925,17926421,19412728,3769889
2017-01,20163378,3921898,1870189,8078459,12852702,4741952,8945419,3341361,8831818,4489728,2308193,4275448,16893449,1442650,5696270,15977902,7987320,3808308,9899436,2082596,571275,9497048,3423731,7275465,15092803,16326431,3357743
2017-02,20443027,3934662,1840126,7927573,12827792,4731393,8864251,3322775,8731335,4421301,2217826,4293094,17196620,1418294,5760169,15995172,8055258,3776382,9911726,2059578,563981,9554886,3467433,7156205,15436303,16711295,3316055
2017-03,22589765,4565463,2088946,9039070,14598793,5481292,9962889,3669986,10130591,5198908,2591648,4966778,19167076,1615072,6808726,17165671,9652576,4652299,11465620,2378949,646687,11042039,3921571,8264670,17500165,19074570,3906926
2017-04,21125060,4391663,1987740,8707995,13892920,5343769,9445987,3422189,9667230,5014540,2443582,4709310,18137991,1570029,6238693,16366552,9171498,4378554,11478555,2256237,642257,11515317,3747194,7867517,16248876,17586789,3762490
2017-05,20719127,4399218,2015054,8778602,13784719,5479143,9365999,3277395,9985053,5090904,2414419,4740792,18405580,1574729,6286550,16446954,9081990,4413892,11480008,2247824,639474,10617153,3778950,7941056,16381614,16884692,3805185
2017-06,21195168,4362154,1971910,8641517,13605197,5055056,9346937,3401546,9529090,4946121,2380253,4654299,17839995,1533859,5990970,16170002,8909955,4219148,11316285,2196897,628175,10529655,3739068,7745147,15736611,16857138,3636762
