기간,분류,전시회 관람,박물관 관람,음악 및 무용발표회 관람,전통예술공연 관람,연극공연 관람,극장에서 영화관람,대중공연 관람,스포츠경기 관람
2018,서울시,38997,14855,89475,25773,79302,47844,89850,53263
2018,종로구,22295,7566,87267,12431,68518,34957,110653,37836
2018,중구,7273,6721,40385,12972,40698,42076,53009,36244
2018,용산구,19001,10033,65727,7990,50609,44204,72313,46437
2018,성동구,14741,6571,56184,11807,69991,39990,64387,33014
2018,광진구,51114,14144,145345,37348,113819,72313,106142,87304
2018,동대문구,37544,8371,109481,16420,52715,43284,52724,44072
2018,중랑구,23684,10023,61303,41458,55988,46262,71804,56390
2018,성북구,57138,12624,79700,9066,79686,40500,81356,48503
2018,강북구,41513,12819,154420,11125,93997,41089,91546,48645
2018,도봉구,23392,10656,74917,45166,70824,39769,85764,47580
2018,노원구,18788,11063,66454,6640,69548,49849,65693,46293
2018,은평구,18359,15307,76856,25243,60197,43721,74994,39114
2018,서대문구,29133,9276,104218,23495,65955,37062,55509,47369
2018,마포구,18281,12877,65800,21545,71070,50731,84276,72572
2018,양천구,28284,22516,80023,38513,70477,41660,81354,44126
2018,강서구,24241,20658,66720,31140,96548,58893,67733,49540
2018,구로구,21622,11051,69809,24145,85682,49536,131483,50745
2018,금천구,52165,20319,105603,24017,83785,53864,91447,69655
2018,영등포구,31054,18093,54195,19717,56357,53706,70007,58380
2018,동작구,80568,10449,181629,49680,104765,59792,66332,99022
2018,관악구,21457,15705,59866,21590,97606,46086,120011,44221
2018,서초구,54256,10531,110399,16179,83529,49437,183019,42698
2018,강남구,71431,13059,92000,17657,75653,42349,82504,55185
2018,송파구,30724,23967,78869,51364,102975,51326,111677,66752
2018,강동구,53598,13209,98312,23343,65372,41022,81768,52059
2019,서울시,22218,16345,82457,31012,83008,48714,106438,77012
2019,종로구,11363,8702,69074,10630,37313,40448,29138,50782
2019,중구,19423,23959,50611,24134,46546,52319,27050,35235
2019,용산구,11623,12045,80295,9229,57130,39209,88153,54906
2019,성동구,24132,11840,65413,28318,54070,47356,71472,37103
2019,광진구,50410,18439,86149,31255,92410,41760,106770,105547
2019,동대문구,29639,22238,98276,6596,65131,50553,57855,50319
2019,중랑구,19975,16763,100726,45994,76478,35445,80874,39884
2019,성북구,21207,14588,50779,10232,50668,45297,57832,52596
2019,강북구,26417,16802,33574,16620,30428,31897,44019,37213
2019,도봉구,25332,22839,87684,19691,67683,44869,84965,100280
2019,노원구,13216,19174,86403,51302,92221,38070,96832,35319
2019,은평구,24442,17424,90581,25781,57373,42460,70729,59723
2019,서대문구,8529,11110,36113,8100,49518,62276,30798,61254
2019,마포구,9263,9508,54747,38976,78444,47898,84571,54185
2019,양천구,13478,18770,51353,13677,53183,39489,38011,48581
2019,강서구,26261,12910,87200,30186,74366,48819,84684,57696
2019,구로구,10611,12543,84374,50064,113591,51995,122254,69999
2019,금천구,22815,12476,53938,13695,89657,59702,56988,45822
2019,영등포구,10573,16049,95200,68765,178679,71066,213721,185995
2019,동작구,16215,8722,61088,53334,43784,37984,146674,44892
2019,관악구,19393,12202,62462,52629,89476,62119,142147,110121
2019,서초구,22637,14716,120155,22314,85464,50322,131668,75201
2019,강남구,34965,19443,136297,20874,110540,56616,101596,86437
2019,송파구,28652,24754,62610,26855,101742,55070,119563,75138
2019,강동구,32307,16310,82062,11779,94186,55207,99550,54496
2020,서울시,27887,17660,93312,31197,94617,49545,121908,62432
2020,종로구,34073,13492,96829,17371,98736,62214,111137,76693
2020,중구,19965,17317,94977,48060,80632,53017,99889,54454
2020,용산구,29123,16629,100177,23948,88162,65122,145989,70682
2020,성동구,31752,15211,79516,35236,93156,48705,145871,52661
2020,광진구,21991,15099,106406,21175,107202,52415,149117,67539
2020,동대문구,24113,17570,71520,23939,61617,41517,95849,59730
2020,중랑구,28588,17294,98807,44638,80082,46443,109086,103513
2020,성북구,30570,16203,150247,45060,160066,55671,117160,57306
2020,강북구,29872,17831,115584,25408,80111,40114,147488,36439
2020,도봉구,17209,15034,123471,21828,83318,41555,112236,98252
2020,노원구,22930,12463,67876,29226,71330,42462,73784,57720
2020,은평구,26271,16640,81534,30819,82822,45846,105028,44192
2020,서대문구,19514,11874,61945,18718,85503,44903,100194,39067
2020,마포구,25251,13578,85633,24667,127139,48787,141455,65673
2020,양천구,17796,13393,71423,10779,73753,49263,108559,64037
2020,강서구,29538,18975,115965,40490,80282,46301,101716,59322
2020,구로구,24600,14890,101096,46483,90372,46880,174252,41732
2020,금천구,26016,16010,56068,30166,71217,48043,73738,43691
2020,영등포구,37909,23453,77851,66025,95774,60308,104210,71746
2020,동작구,19617,10462,77493,13484,72554,58477,67215,50604
2020,관악구,18604,14519,68178,28399,102752,44671,126076,47999
2020,서초구,31734,22839,115779,52045,72197,47980,138748,65009
2020,강남구,44600,35421,134696,49326,126038,60122,143185,77915
2020,송파구,33480,15949,82020,27386,121255,53230,158941,81042
2020,강동구,27571,21087,76906,25421,92207,42922,114414,63899
